date, pm25, pm10, o3, no2
2023/7/25, 19, 8, 24, 5
2023/7/26, 21, 5, 16, 2
2023/7/27, 12, 6, 19, 1
2023/7/28, 13, 7, 23, 
2023/7/29, 15, 8, 21, 
2023/7/30, 18, 7, 21, 1
2023/7/31, 20, 7, 20, 1
2023/8/1, 18, 6, 24, 1
2023/8/2, 11, 7, 22, 1
2023/8/3, 15, 10, 24, 1
2023/8/4, 24, 9, 21, 3
2023/8/5, 25, 6, 26, 1
2023/8/6, 15, 6, 24, 3
2023/8/7, 13, 5, 19, 3
2023/8/8, 12, 7, 23, 4
2023/8/9, 15, 10, 29, 5
2023/8/10, 20, 10, 30, 2
2023/8/11, 24, 11, 22, 1
2023/8/12, 25, 8, 26, 1
2023/8/13, 17, 7, 25, 3
2023/8/14, 15, 16, 23, 4
2023/8/15, 19, 32, 31, 5
2023/8/16, 29, 19, 30, 2
2023/8/17, 26, 13, 30, 3
2023/8/18, 37, 14, 23, 1
2023/8/19, 41, 7, 23, 1
2023/8/20, 17, 8, 15, 3
2023/8/21, 20, 8, 12, 2
2023/8/22, 16, 9, 3, 5
2023/8/23, 22, 11, 24, 6
2023/8/24, 29, 8, 23, 4
2023/8/25, 15, 6, 24, 4
2023/8/26, 15, 5, 21, 3
2023/8/27, 12, 6, 23, 4
2023/8/28, 15, 8, 18, 4
2023/8/29, 19, 9, 25, 5
2023/8/30, 20, 10, 16, 7
2023/8/31, 23, 9, 21, 4
2023/9/1, 28, 14, 26, 5
2023/9/2, 43, 11, 29, 8
2023/9/3, 35, 14, 45, 6
2023/9/4, 42, 19, 48, 4
2023/9/5, 54, 21, 42, 8
2023/9/6, 56, 23, 69, 9
2023/9/7, 53, 35, 51, 12
2023/9/8, 76, 38, 45, 9
2023/9/9, 63, 34, 33, 8
2023/9/10, 67, 20, 30, 3
2023/9/11, 51, 7, 19, 4
2023/9/12, 18, 10, 27, 6
2023/9/13, 21, 9, 15, 6
2023/9/14, 25, 9, 31, 8
2023/9/15, 26, 20, 36, 4
2023/9/16, 57, 16, 35, 2
2023/9/17, 50, 13, 23, 2
2023/9/18, 42, 7, 22, 1
2023/9/19, 16, 8, 24, 2
2023/9/20, 20, 8, 21, 6
2023/9/21, 16, 7, 21, 5
2023/9/22, 17, 7, 26, 3
2023/9/23, 17, 8, 26, 1
2023/9/24, 20, 12, 27, 5
2023/9/25, 28, 11, 25, 4
2023/9/26, 31, 10, 23, 4
2023/9/27, 25, 14, 24, 4
2023/9/28, 32, 11, 23, 6
2023/9/29, 25, 10, 22, 4
2023/9/30, 24, 7, 20, 1
2023/4/1, 21, 10, 33, 2
2023/4/2, 26, 10, 31, 5
2023/4/3, 27, 17, 31, 12
2023/4/4, 44, 19, 27, 7
2023/4/5, 53, 10, 35, 3
2023/4/6, 33, 10, 36, 7
2023/4/7, 24, 13, 37, 6
2023/4/8, 42, 19, 35, 3
2023/4/9, 62, 12, 34, 2
2023/4/10, 41, 9, 37, 2
2023/4/11, 19, 7, 34, 3
2023/4/12, 15, 8, 35, 2
2023/4/13, 16, 7, 28, 5
2023/4/14, 15, 13, 31, 7
2023/4/15, 46, 15, 33, 6
2023/4/16, 45, 17, 31, 4
2023/4/17, 42, 20, 45, 1
2023/4/18, 58, 24, 39, 2
2023/4/19, 62, 16, 42, 2
2023/4/20, 41, 18, 34, 6
2023/4/21, 48, 25, 37, 4
2023/4/22, 75, 17, 30, 4
2023/4/23, 57, 12, 32, 4
2023/4/24, 39, 14, 37, 7
2023/4/25, 33, 15, 34, 6
2023/4/26, 41, 21, 30, 7
2023/4/27, 60, 20, 31, 7
2023/4/28, 64, 20, 29, 8
2023/4/29, 61, 19, 26, 5
2023/4/30, 60, 13, 31, 2
2023/5/1, 44, 11, 28, 3
2023/5/2, 32, 11, 31, 4
2023/5/3, 34, 19, 35, 4
2023/5/4, 52, 11, 29, 5
2023/5/5, 29, 10, 23, 4
2023/5/6, 28, 9, 28, 2
2023/5/7, 30, 8, 20, 4
2023/5/8, 23, 9, 23, 6
2023/5/9, 23, 10, 22, 6
2023/5/10, 26, 7, 27, 4
2023/5/11, 17, 11, 30, 3
2023/5/12, 37, 14, 28, 3
2023/5/13, 44, 17, 29, 4
2023/5/14, 56, 9, 33, 2
2023/5/15, 24, 13, 35, 3
2023/5/16, 29, 13, 34, 5
2023/5/17, 34, 15, 37, 8
2023/5/18, 39, 16, 28, 4
2023/5/19, 44, 13, 37, 2
2023/5/20, 40, 11, 40, 2
2023/5/21, 30, 12, 39, 3
2023/5/22, 28, 14, 33, 4
2023/5/23, 36, 19, 40, 3
2023/5/24, 45, 16, 33, 2
2023/5/25, 39, 14, 35, 2
2023/5/26, 36, 15, 41, 4
2023/5/27, 42, 14, 32, 2
2023/5/28, 35, 13, 32, 1
2023/5/29, 29, 13, 29, 1
2023/5/30, 33, 9, 28, 1
2023/5/31, 23, 10, 34, 1
2023/6/1, 30, 13, 33, 1
2023/6/2, 31, 14, 31, 1
2023/6/3, 33, 10, 32, 1
2023/6/4, 28, 10, 30, 
2023/6/5, 27, 9, 29, 1
2023/6/6, 24, 10, 33, 1
2023/6/7, 25, 12, 33, 
2023/6/8, 28, 17, 36, 1
2023/6/9, 40, 23, 60, 1
2023/6/10, 60, 25, 65, 2
2023/6/11, 58, 26, 51, 3
2023/6/12, 65, 25, 56, 2
2023/6/13, 55, 22, 50, 1
2023/6/14, 43, 21, 49, 2
2023/6/15, 47, 19, 51, 4
2023/6/16, 40, 18, 53, 4
2023/6/17, 42, 18, 37, 5
2023/6/18, 50, 13, 32, 4
2023/6/19, 39, 9, 27, 7
2023/6/20, 24, 8, 31, 7
2023/6/21, 21, 11, 34, 18
2023/6/22, 29, 11, 27, 17
2023/6/23, 29, 9, 22, 6
2023/6/24, 23, 10, 44, 7
2023/6/25, 22, 9, 27, 5
2023/6/26, 16, 13, 22, 8
2023/6/27, 31, 12, 21, 7
2023/6/28, 37, 10, 28, 7
2023/6/29, 25, 9, 15, 9
2023/6/30, 18, 12, 29, 4
2023/1/2, 39, 11, 29, 6
2023/1/3, 39, 8, 29, 1
2023/1/4, 23, 12, 28, 4
2023/1/5, 33, 6, 29, 5
2023/1/6, 15, 6, 29, 2
2023/1/7, 15, 8, 28, 3
2023/1/8, 21, 9, 25, 3
2023/1/9, 21, 12, 29, 3
2023/1/10, 28, 8, 30, 3
2023/1/11, 20, 9, 29, 2
2023/1/12, 25, 11, 31, 2
2023/1/13, 30, 8, 28, 2
2023/1/14, 20, 7, 30, 3
2023/1/15, 18, 13, 20, 10
2023/1/16, 38, 14, 16, 15
2023/1/17, 41, 10, 19, 6
2023/1/18, 24, 9, 20, 12
2023/1/19, 27, 11, 23, 9
2023/1/20, 33, 16, 2, 11
2023/1/21, 53, , 6, 12
2023/1/23, 66, 33, 2, 23
2023/1/24, 89, 18, 21, 6
2023/1/25, 61, 11, 18, 5
2023/1/26, 38, 14, 22, 7
2023/1/27, 35, 17, 15, 9
2023/1/28, 52, 11, 23, 2
2023/1/29, 40, 13, 27, 6
2023/1/30, 28, 15, 28, 3
2023/1/31, 32, 14, 27, 2
2023/2/1, 31, 9, 28, 2
2023/2/2, 19, 8, 26, 4
2023/2/3, 13, 10, 24, 4
2023/2/4, 25, 18, 25, 10
2023/2/5, 40, 26, 16, 18
2023/2/6, 66, 28, 17, 19
2023/2/7, 69, 28, 16, 16
2023/2/8, 77, 30, 25, 16
2023/2/9, 66, 23, 19, 13
2023/2/10, 52, 14, 23, 9
2023/2/11, 34, 19, 22, 10
2023/2/12, 55, 20, 22, 4
2023/2/13, 60, , , 
2023/2/16, 25, 8, 27, 2
2023/2/17, 23, 6, 29, 1
2023/2/18, 14, 8, 29, 2
2023/2/19, 17, 7, 26, 2
2023/2/20, 15, 9, 24, 5
2023/2/21, 24, 15, 25, 5
2023/2/22, 52, 14, 27, 7
2023/2/23, 32, 13, 27, 5
2023/2/24, 30, 11, 28, 2
2023/2/25, 25, 12, 29, 4
2023/2/26, 28, 11, 26, 5
2023/2/27, 33, 8, 27, 4
2023/2/28, 26, 6, 28, 3
2023/3/1, 20, 9, 29, 3
2023/3/2, 24, 11, 31, 4
2023/3/3, 34, 14, 31, 3
2023/3/4, 42, 18, 25, 4
2023/3/5, 56, 9, 25, 6
2023/3/6, 27, 18, 26, 13
2023/3/7, 36, 18, 28, 10
2023/3/8, 51, 6, 29, 6
2023/3/9, 23, 9, 31, 9
2023/3/10, 27, 13, 27, 11
2023/3/11, 42, 13, 28, 3
2023/3/12, 38, 11, 32, 2
2023/3/13, 31, 8, 30, 5
2023/3/14, 19, 8, 23, 11
2023/3/15, 25, 8, 25, 6
2023/3/16, 21, 8, 27, 8
2023/3/17, 22, 8, 29, 5
2023/3/18, 25, 8, 28, 4
2023/3/19, 18, 7, 26, 5
2023/3/20, 20, 6, 32, 4
2023/3/21, 15, 14, 35, 3
2023/3/22, 30, 12, 34, 4
2023/3/23, 30, 12, 33, 2
2023/3/24, 27, 10, 33, 3
2023/3/25, 23, 10, 31, 3
2023/3/26, 26, 11, 30, 9
2023/3/27, 24, 9, 25, 7
2023/3/28, 23, 7, 25, 6
2023/3/29, 23, 10, 34, 3
2023/3/30, 26, 7, 31, 5
2023/3/31, 18, 6, 27, 2
2022/10/1, 19, 10, 23, 6
2022/10/2, 23, 10, 19, 8
2022/10/3, 26, 7, 22, 3
2022/10/4, 17, 6, 23, 2
2022/10/5, 13, 10, 23, 3
2022/10/6, 20, 8, 23, 2
2022/10/7, 19, 9, 21, 7
2022/10/8, 21, 11, 23, 5
2022/10/9, 35, 11, 24, 6
2022/10/10, 24, 15, 17, 9
2022/10/11, 39, 13, 24, 6
2022/10/12, 39, 12, 21, 8
2022/10/13, 35, 12, 20, 7
2022/10/14, 39, 9, 27, 2
2022/10/15, 22, 8, 26, 1
2022/10/16, 18, 10, 25, 3
2022/10/17, 21, 11, 23, 7
2022/10/18, 25, 10, 21, 3
2022/10/19, 24, 24, 13, 10
2022/10/20, 57, 13, 11, 6
2022/10/21, 37, , , 
2022/10/23, 25, 7, 23, 3
2022/10/24, 16, 8, 19, 5
2022/10/25, 18, 12, 27, 3
2022/10/26, 27, 14, 17, 5
2022/10/27, 37, 14, 28, 5
2022/10/28, 31, 11, 22, 4
2022/10/29, 27, 12, 23, 2
2022/10/30, 27, 11, 21, 4
2022/10/31, 30, 9, 25, 2
2022/11/1, 21, 9, 27, 3
2022/11/2, 19, 11, 23, 10
2022/11/3, 26, 18, 18, 15
2022/11/4, 51, 21, 18, 6
2022/11/5, 62, 18, 22, 6
2022/11/6, 58, 12, 29, 4
2022/11/7, 34, 10, 30, 4
2022/11/8, 23, 9, 23, 5
2022/11/9, 21, 8, 25, 2
2022/11/10, 18, 6, 25, 4
2022/11/11, 17, 13, 19, 8
2022/11/12, 41, 18, 11, 7
2022/11/13, 56, 20, 14, 11
2022/11/14, 64, 10, 22, 6
2022/11/15, 31, 6, 21, 7
2022/11/16, 13, 5, 23, 4
2022/11/17, 15, 6, 22, 4
2022/11/18, 15, 13, 18, 10
2022/11/19, 30, 12, 21, 4
2022/11/20, 32, 10, 23, 8
2022/11/21, 24, 9, 22, 11
2022/11/22, 29, 10, 25, 5
2022/11/23, 31, 12, 25, 6
2022/11/24, 28, 12, 26, 6
2022/11/25, 29, 12, 26, 5
2022/11/26, 30, 18, 23, 8
2022/11/27, 42, 18, 14, 10
2022/11/28, 50, 15, 13, 7
2022/11/29, 53, 17, 13, 7
2022/11/30, 56, 19, 16, 6
2022/12/1, 60, 20, 10, 9
2022/12/2, 63, 13, 15, 4
2022/12/3, 43, 13, 16, 3
2022/12/4, 42, 12, 14, 5
2022/12/5, 40, 11, 17, 9
2022/12/6, 31, 14, 8, 20
2022/12/7, 46, 15, 9, 23
2022/12/8, 47, 20, 4, 22
2022/12/9, 61, 20, 12, 15
2022/12/10, 63, 22, 14, 11
2022/12/11, 71, 22, 13, 10
2022/12/12, 71, 23, 12, 12
2022/12/13, 72, 25, 11, 15
2022/12/14, 75, 19, 8, 19
2022/12/15, 58, 27, 6, 20
2022/12/16, 75, 22, 9, 15
2022/12/17, 67, 19, 13, 7
2022/12/18, 62, 7, 22, 3
2022/12/19, 22, 11, 24, 7
2022/12/20, 26, 12, 22, 8
2022/12/21, 30, 9, 13, 10
2022/12/22, 33, 15, 19, 9
2022/12/23, 50, 12, 27, 6
2022/12/24, 32, 9, 24, 3
2022/12/25, 26, 7, 27, 2
2022/12/26, 17, 7, 28, 3
2022/12/27, 20, 7, 30, 2
2022/12/28, 21, 9, 29, 2
2022/12/29, 24, 10, 29, 3
2022/12/30, 23, 8, 28, 3
2022/12/31, 20, 11, 30, 2
2023/1/1, 26, 12, 20, 10
2022/7/1, 15, 6, 19, 2
2022/7/2, 12, 6, 21, 2
2022/7/3, 13, 6, 24, 3
2022/7/4, 11, 7, 24, 4
2022/7/5, 14, 8, 16, 3
2022/7/6, 14, 11, 29, 2
2022/7/7, 20, 11, 30, 3
2022/7/8, 30, 8, 30, 3
2022/7/9, 20, 7, 41, 4
2022/7/10, 17, 9, 49, 5
2022/7/11, 19, 11, 34, 4
2022/7/12, 20, 11, 32, 3
2022/7/13, 24, 11, 26, 4
2022/7/14, 19, 9, 24, 4
2022/7/15, 17, 10, 44, 5
2022/7/16, 24, 14, 48, 7
2022/7/17, 39, 16, 56, 8
2022/7/18, 30, 29, 66, 9
2022/7/19, 51, 30, 41, 4
2022/7/20, 66, 14, 22, 3
2022/7/21, 29, 10, 26, 6
2022/7/22, 25, 13, 24, 4
2022/7/23, 37, 10, 20, 1
2022/7/24, 21, 9, 25, 1
2022/7/25, 18, 9, 26, 3
2022/7/26, 20, 13, 31, 6
2022/7/27, 28, 11, 34, 4
2022/7/28, 22, 13, 42, 6
2022/7/29, 26, 12, 26, 4
2022/7/30, 27, 6, 25, 1
2022/7/31, 14, 7, 33, 3
2022/8/1, 14, 8, 15, 1
2022/8/2, 12, 7, 25, 1
2022/8/3, 14, 8, 28, 2
2022/8/4, 17, 8, 25, 3
2022/8/5, 17, 11, 32, 4
2022/8/6, 34, 8, 33, 3
2022/8/7, 21, 11, 41, 4
2022/8/8, 23, 16, 52, 8
2022/8/9, 34, 15, 47, 7
2022/8/10, 27, 15, 42, 5
2022/8/11, 24, 19, 64, 4
2022/8/12, 31, 21, 69, 2
2022/8/13, 37, 21, 69, 3
2022/8/14, 46, 23, 52, 9
2022/8/15, 46, 22, 43, 5
2022/8/16, 57, 12, 27, 2
2022/8/17, 33, 14, 30, 3
2022/8/18, 35, 9, 24, 2
2022/8/19, 20, 10, 25, 2
2022/8/20, 22, 10, 26, 3
2022/8/21, 24, 9, 23, 6
2022/8/22, 21, 7, 22, 3
2022/8/23, 15, 7, 14, 5
2022/8/24, 16, 9, 19, 7
2022/8/25, 23, 10, 25, 10
2022/8/26, 23, 12, 33, 5
2022/8/27, 32, 8, 28, 3
2022/8/28, 17, 7, 25, 2
2022/8/29, 16, 8, 29, 1
2022/8/30, 15, 10, 31, 1
2022/8/31, 22, 10, 35, 1
2022/9/1, 19, 15, 28, 5
2022/9/2, 28, 22, 39, 5
2022/9/3, 62, 13, 27, 2
2022/9/4, 38, 10, 29, 4
2022/9/5, 23, 9, 25, 5
2022/9/6, 24, 10, 24, 3
2022/9/7, 24, 9, 22, 4
2022/9/8, 22, 12, 23, 7
2022/9/9, 37, 9, 25, 6
2022/9/10, 24, 10, 30, 6
2022/9/11, 32, 11, 26, 7
2022/9/12, 37, 9, 22, 7
2022/9/13, 20, 13, 24, 7
2022/9/14, 35, 9, 23, 4
2022/9/15, 21, 7, 26, 5
2022/9/16, 12, 6, 24, 6
2022/9/17, 12, 5, 25, 2
2022/9/18, 10, 5, 22, 5
2022/9/19, 15, 11, 24, 10
2022/9/20, 33, 11, 26, 12
2022/9/21, 30, 12, 29, 9
2022/9/22, 34, 10, 23, 4
2022/9/23, 33, 7, 19, 5
2022/9/24, 19, 8, 24, 4
2022/9/25, 20, 8, 22, 3
2022/9/26, 18, 9, 24, 4
2022/9/27, 16, 8, 21, 6
2022/9/28, 17, 6, 19, 6
2022/9/29, 18, 9, 19, 6
2022/9/30, 27, 9, 21, 2
2022/4/1, 17, 10, 33, 8
2022/4/2, 34, 13, 32, 8
2022/4/3, 46, 6, 29, 3
2022/4/4, 21, 6, 32, 2
2022/4/5, 14, 5, 30, 2
2022/4/6, 12, 7, 30, 3
2022/4/7, 16, 7, 31, 6
2022/4/8, 16, 7, 30, 5
2022/4/9, 14, 8, 33, 8
2022/4/10, 21, 13, 33, 6
2022/4/11, 36, 21, 22, 9
2022/4/12, 59, 12, 26, 7
2022/4/13, 35, 8, 29, 8
2022/4/14, 23, 12, 34, 8
2022/4/15, 33, 17, 36, 6
2022/4/16, 52, 22, 39, 4
2022/4/17, 67, 10, 35, 2
2022/4/18, 30, 10, 33, 5
2022/4/19, 26, 16, 39, 2
2022/4/20, 47, 15, 41, 3
2022/4/21, 39, 17, 36, 2
2022/4/22, 47, 19, 37, 2
2022/4/23, 52, 16, 39, 1
2022/4/24, 47, 11, 32, 3
2022/4/25, 29, 12, 33, 3
2022/4/26, 34, 11, 35, 4
2022/4/27, 28, 12, 32, 3
2022/4/28, 32, 14, 34, 4
2022/4/29, 37, 14, 37, 7
2022/4/30, 42, 12, 32, 4
2022/5/1, 38, 22, 26, 5
2022/5/2, 68, 20, 24, 5
2022/5/3, 62, 14, 23, 4
2022/5/4, 48, 9, 16, 7
2022/5/5, 27, 14, , 
2022/5/6, 40, , , 
2022/5/9, 35, 12, 31, 2
2022/5/10, 36, 13, 26, 4
2022/5/11, 31, 9, 30, 2
2022/5/12, 28, 14, 35, 2
2022/5/13, 31, 16, 38, 5
2022/5/14, 42, 18, 37, 5
2022/5/15, 50, 16, 30, 4
2022/5/16, 50, 11, 31, 4
2022/5/17, 30, 9, 32, 3
2022/5/18, 20, 8, 36, 4
2022/5/19, 20, 9, 32, 4
2022/5/20, 24, 10, 27, 3
2022/5/21, 25, 8, 29, 3
2022/5/22, 18, 5, 25, 4
2022/5/23, 11, 5, 25, 3
2022/5/24, 9, 6, 25, 3
2022/5/25, 11, 7, 20, 2
2022/5/26, 15, 10, 31, 3
2022/5/27, 21, 9, 29, 2
2022/5/28, 19, 6, 28, 2
2022/5/29, 14, 7, 26, 4
2022/5/30, 17, 6, 27, 5
2022/5/31, 17, 8, 27, 7
2022/6/1, 22, 11, 39, 6
2022/6/2, 36, 13, 39, 3
2022/6/3, 41, 11, 33, 1
2022/6/4, 32, 8, 29, 2
2022/6/5, 21, 8, 24, 5
2022/6/6, 25, 11, 31, 6
2022/6/7, 38, 7, 25, 2
2022/6/8, 15, 10, 21, 2
2022/6/9, 22, 15, 29, 2
2022/6/10, 37, 13, 29, 1
2022/6/11, 32, 11, 29, 1
2022/6/12, 27, 9, 29, 4
2022/6/13, 22, 10, 38, 4
2022/6/14, 24, 13, 45, 10
2022/6/15, 35, 14, 44, 6
2022/6/16, 33, 22, 49, 5
2022/6/17, 39, 16, 24, 3
2022/6/18, 33, 11, 23, 3
2022/6/19, 26, 10, 34, 5
2022/6/20, 24, 11, 50, 7
2022/6/21, 28, 13, 42, 6
2022/6/22, 33, 12, 38, 9
2022/6/23, 30, 16, 33, 4
2022/6/24, 46, 10, 29, 2
2022/6/25, 22, 9, 28, 1
2022/6/26, 18, 8, 24, 3
2022/6/27, 19, 10, 26, 3
2022/6/28, 20, 8, 22, 3
2022/6/29, 18, 6, 24, 4
2022/6/30, 14, 7, 25, 2
2022/1/3, 32, 10, 23, 6
2022/1/4, 26, 10, 25, 13
2022/1/5, 27, 13, 25, 14
2022/1/6, 43, 8, 27, 7
2022/1/7, 22, 8, 27, 7
2022/1/8, 23, 10, 26, 9
2022/1/9, 33, 15, 15, 15
2022/1/10, 51, 15, 16, 11
2022/1/11, 46, 18, 9, 18
2022/1/12, 55, 22, 5, 18
2022/1/13, 63, 28, 5, 22
2022/1/14, 78, 34, 5, 19
2022/1/15, 95, 25, 22, 9
2022/1/16, 74, 19, 21, 17
2022/1/17, 50, 24, 10, 19
2022/1/18, 70, 19, 24, 8
2022/1/19, 60, 14, 22, 13
2022/1/20, 36, 14, 29, 16
2022/1/21, 39, 10, 27, 4
2022/1/22, 31, 12, 24, 5
2022/1/23, 43, 23, 21, 6
2022/1/24, 71, 30, 13, 9
2022/1/25, 83, 26, 22, 7
2022/1/26, 74, 14, 27, 7
2022/1/27, 41, 10, 17, 12
2022/1/28, 32, 10, 30, 2
2022/1/29, 26, 14, 31, 7
2022/1/30, 34, 11, 32, 4
2022/1/31, 25, 7, 28, 4
2022/2/1, 16, 5, 23, 6
2022/2/2, 13, 8, 31, 4
2022/2/3, 22, 6, 30, 4
2022/2/4, 14, 7, 31, 2
2022/2/5, 18, 5, 31, 1
2022/2/6, 14, 10, 29, 7
2022/2/7, 23, 7, 30, 3
2022/2/8, 18, 7, 29, 6
2022/2/9, 16, 10, 28, 6
2022/2/10, 22, 14, 21, 12
2022/2/11, 32, 11, 27, 4
2022/2/12, 26, 6, 28, 3
2022/2/13, 16, 4, 26, 4
2022/2/14, 10, 7, 28, 6
2022/2/15, 19, 9, 34, 1
2022/2/16, 25, 9, 33, 2
2022/2/17, 22, 9, 31, 2
2022/2/18, 23, 7, 28, 5
2022/2/19, 17, 8, 33, 1
2022/2/20, 24, 11, 32, 2
2022/2/21, 29, 14, 32, 5
2022/2/22, 38, 10, 29, 5
2022/2/23, 25, 6, 29, 3
2022/2/24, 13, 15, 27, 10
2022/2/25, 29, 18, 28, 10
2022/2/26, 44, 11, 26, 5
2022/2/27, 33, 15, 26, 8
2022/2/28, 45, 10, 29, 4
2022/3/1, 31, 18, 23, 12
2022/3/2, 59, 34, 15, 16
2022/3/3, 93, 14, 29, 7
2022/3/4, 42, 8, 30, 3
2022/3/5, 24, 10, 30, 3
2022/3/6, 31, 10, 30, 5
2022/3/7, 32, 26, 26, 8
2022/3/8, 70, 24, 29, 6
2022/3/9, 65, 12, 26, 6
2022/3/10, 34, 12, 26, 5
2022/3/11, 43, 7, 32, 3
2022/3/12, 21, 9, 30, 3
2022/3/13, 21, 12, 29, 9
2022/3/14, 29, 17, 26, 14
2022/3/15, 44, 22, 26, 8
2022/3/16, 65, 12, 27, 6
2022/3/17, 35, 12, 30, 9
2022/3/18, 40, 13, 31, 4
2022/3/19, 44, 21, 33, 7
2022/3/20, 57, 41, 29, 16
2022/3/21, 100, 38, 22, 12
2022/3/22, 87, 40, 33, 23
2022/3/23, 88, 48, 47, 18
2022/3/24, 101, 51, 45, 12
2022/3/25, 102, 41, 42, 8
2022/3/26, 82, 21, 25, 5
2022/3/27, 63, 19, 27, 12
2022/3/28, 54, 22, 27, 8
2022/3/29, 62, 23, 34, 4
2022/3/30, 64, 8, 30, 3
2022/3/31, 26, 7, 33, 4
2021/10/1, 14, 7, 24, 5
2021/10/2, 15, 5, 23, 2
2021/10/3, 10, 7, 24, 5
2021/10/4, 17, 5, 25, 3
2021/10/5, 10, 7, 24, 6
2021/10/6, 15, 9, 14, 7
2021/10/7, 21, 11, 8, 7
2021/10/8, 32, 19, 25, 10
2021/10/9, 58, 14, 25, 5
2021/10/10, 46, 12, 20, 11
2021/10/11, 28, 11, 17, 8
2021/10/12, 29, 9, 13, 9
2021/10/13, 22, 8, 22, 5
2021/10/14, 23, 11, 25, 9
2021/10/15, 31, 14, 18, 11
2021/10/16, 40, 16, 21, 8
2021/10/17, 53, 15, 16, 7
2021/10/18, 50, 10, 18, 3
2021/10/19, 31, 4, 25, 4
2021/10/20, 10, 2, 26, 6
2021/10/21, 6, 1, 25, 7
2021/10/22, 5, , 26, 6
2021/10/25, 27, 8, 25, 5
2021/10/26, 27, 5, 30, 2
2021/10/27, 13, 7, 29, 4
2021/10/28, 19, 8, 28, 5
2021/10/29, 23, 7, 24, 5
2021/10/30, 17, 5, 28, 3
2021/10/31, 14, 2, 27, 5
2021/11/1, 7, 1, 19, 12
2021/11/2, 5, 13, 21, 12
2021/11/3, 49, 7, 18, 8
2021/11/4, 23, 22, 14, 18
2021/11/5, 66, 17, 28, 3
2021/11/6, 55, 13, 25, 4
2021/11/7, 31, 13, 15, 9
2021/11/8, 42, 9, 21, 4
2021/11/9, 28, 9, 21, 10
2021/11/10, 29, 11, 17, 10
2021/11/11, 37, 8, 22, 4
2021/11/12, 25, 8, 22, 6
2021/11/13, 20, 12, 15, 7
2021/11/14, 39, 18, 11, 10
2021/11/15, 56, 19, 11, 9
2021/11/16, 61, 15, 18, 9
2021/11/17, 39, 13, 21, 6
2021/11/18, 30, 5, 23, 7
2021/11/19, 13, 7, 27, 6
2021/11/20, 20, 8, 22, 3
2021/11/21, 18, 9, 20, 10
2021/11/22, 23, 14, 19, 14
2021/11/23, 45, 12, 20, 10
2021/11/24, 43, 11, 18, 12
2021/11/25, 30, 9, 26, 4
2021/11/26, 21, 6, 27, 1
2021/11/27, 13, 8, 25, 7
2021/11/28, 25, 14, 14, 14
2021/11/29, 50, 7, 29, 4
2021/11/30, 26, 4, 27, 5
2021/12/1, 11, 8, 19, 12
2021/12/2, 21, 13, 18, 13
2021/12/3, 38, 12, 28, 5
2021/12/4, 42, 5, 27, 4
2021/12/5, 16, 10, 21, 13
2021/12/6, 34, 10, 29, 8
2021/12/7, 28, 8, 29, 1
2021/12/8, 18, 10, 17, 13
2021/12/9, 24, 8, 27, 10
2021/12/10, 21, 10, 19, 11
2021/12/11, 30, 7, 25, 3
2021/12/12, 21, 5, 26, 7
2021/12/13, 13, 7, 20, 5
2021/12/14, 21, 12, 20, 10
2021/12/15, 33, 13, 21, 12
2021/12/16, 38, 18, 18, 12
2021/12/17, 56, 10, 21, 5
2021/12/18, 39, 7, 13, 9
2021/12/19, 27, 12, 25, 7
2021/12/20, 42, 14, 26, 8
2021/12/21, 43, 23, 8, 17
2021/12/22, 69, 21, 18, 11
2021/12/23, 65, 12, 19, 10
2021/12/24, 41, 10, 21, 3
2021/12/25, 35, 11, 12, 9
2021/12/26, 41, 11, 21, 7
2021/12/27, 37, 7, 26, 5
2021/12/28, 23, 8, 24, 4
2021/12/29, 24, 5, 90, 2
2021/12/30, 14, 7, 26, 2
2021/12/31, 22, 14, 21, 3
2022/1/1, 40, 13, 27, 3
2022/1/2, 36, 12, 28, 4
2021/7/1, 61, 25, 31, 6
2021/7/2, 67, 14, 20, 3
2021/7/3, 42, 9, 18, 2
2021/7/4, 21, 5, 24, 2
2021/7/5, 12, 2, 21, 2
2021/7/6, 6, 7, 25, 1
2021/7/7, 17, 11, 27, 4
2021/7/8, 29, 11, 27, 4
2021/7/9, 32, 9, 23, 2
2021/7/10, 23, 7, 24, 2
2021/7/11, 16, 8, 21, 3
2021/7/12, 21, 13, 31, 2
2021/7/13, 44, 11, 28, 2
2021/7/14, 35, 11, 27, 3
2021/7/15, 26, 15, 36, 5
2021/7/16, 42, 12, 37, 5
2021/7/17, 26, 12, 38, 5
2021/7/18, 30, 17, 44, 5
2021/7/19, 39, 22, 47, 6
2021/7/20, 49, 25, 44, 5
2021/7/21, 57, 25, 44, 5
2021/7/22, 59, 21, 28, 3
2021/7/23, 52, 15, 28, 1
2021/7/24, 38, 16, 35, 2
2021/7/25, 45, 21, 39, 6
2021/7/26, 55, 22, 24, 6
2021/7/27, 59, 16, 20, 3
2021/7/28, 40, 8, 21, 2
2021/7/29, 15, 8, 20, 3
2021/7/30, 21, 7, 21, 3
2021/7/31, 19, 8, 24, 2
2021/8/1, 22, 9, 25, 4
2021/8/2, 20, 13, 29, 7
2021/8/3, 38, 13, 37, 5
2021/8/4, 41, 11, 24, 4
2021/8/5, 31, 9, 22, 1
2021/8/6, 16, 8, 25, 1
2021/8/7, 18, 7, 26, 
2021/8/8, 17, 9, 21, 3
